 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 dotted=no ; width ; 9.0 ; 12 ; 1.9.1 ; 525 ; 4.1 ; 2.0 
 dotted=no ; height ; 9.0 ; 12 ; 1.9.1 ; 525 ; 4.1 ; 2.0 
 dotted=no ; device-width ; 9.0 ; 12 ; 1.9.1 ; 525 ; 4.1 ; 2.0 
 dotted=no ; device-height ; 9.0 ; 12 ; 1.9.1 ; 525 ; 4.1 ; 2.0 
 dotted=no ; device-aspect-ratio ; 9.0 ; 12 ; 1.9.1 ; 525 ; 4.1 ; 2.0 
 dotted=no ; color ; 9.0 ; 12 ; 1.9.1 ; 525 ; 4.1 ; 2.5 
 dotted=no ; color-index ; 9.0 ; 12 ; 1.9.1 ; 525 ; 4.1 ; 2.5 
 dotted=no ; monochrome ; 9.0 ; 12 ; 1.9.1 ; 525 ; 4.1 ; 2.5 
 dotted=no ; resolution ; 9.0 ; 12 ; 1.9.1 ; rowspan="5" no ; 4.1 ; 2.5 
 dotted=no ; orientation ; 9.0 ; 12 ; 1.9.1 ; 4.2.1 ; no 
 dotted=no ; aspect-ratio ; 9.0 ; 12 ; 1.9.1 ; 4.2.1 ; 2.1 
 dotted=no ; grid ; 11.0 ; 12 ; rowspan="2" yes ; 4.1 ; 2.5 
 dotted=no ; scan ; 11.0 ; 12 ; 4.1 ; 2.5 
 Ruby characters ; Ruby characters ; Ruby characters ; Ruby characters ; Ruby characters ; Ruby characters ; Ruby characters ; Ruby characters 
 dotted=no ; ruby-position ; rowspan="3" no ; rowspan="3" no ; 38.0publisher=Mozilla ; rowspan="3" no ; rowspan="3" no ; rowspan="3" no 
 dotted=no ; ruby-align ; 38.0publisher=Mozilla 
 dotted=no ; ruby-merge ;  no 
 Multi-column Layout ; Multi-column Layout ; Multi-column Layout ; Multi-column Layout ; Multi-column Layout ; Multi-column Layout ; Multi-column Layout ; Multi-column Layout 
 dotted=no ; column-count ; 10.0 ; 12 ; Experimentalpublisher=Mozilla ; Experimental ; rowspan="10" no ; 2.8 
 dotted=no ; column-width ; 10.0 ; 12 ; Experimentalpublisher=Mozilla ; Experimental ; 2.8 
 dotted=no ; column-gap ; 10.0 ; 12 ; Experimentalpublisher=Mozilla ; Experimental ; 2.8 
 dotted=no ; column-rule ; 10.0 ; 12 ; Experimentalpublisher=Mozilla ; Experimental ; 2.8 
 dotted=no ; columns ; 10.0 ; 12 ; 9.0publisher=Mozilla ; Experimental ; 2.8 
 dotted=no ; break-before ; 10.0 ; 12 ; rowspan="3" nopublisher=Mozilla ; Experimentalpublisher=WebKit ; 2.8 
 dotted=no ; break-after ; 10.0 ; 12 ; Experimentalpublisher=WebKit ; 2.8 
 dotted=no ; break-inside ; 10.0 ; 12 ; rowspan="1" nopublisher=WebKit ; 2.8 
 dotted=no ; column-fill ; 10.0 ; 12 ; 14.0publisher=Mozilla ; no ; 2.8 
 dotted=no ; column-span ; 10.0 ; 12 ; nopublisher=Mozilla ; Experimentalpublisher=Webkit ; 2.8 
 Grid layout ; Grid layout ; Grid layout ; Grid layout ; Grid layout ; Grid layout ; Grid layout ; Grid layout 
 dotted=no ; grid ; rowspan="9" no ; rowspan="9" no ; rowspan="16" table-experimentalpublisher=Mozilla ; rowspan="16" table-experimentalpublisher=Webkit ; rowspan="16" no ; rowspan="16" no 
 dotted=no ; grid-template 
 dotted=no ; grid-template-columns 
 dotted=no ; grid-template-rows 
 dotted=no ; grid-template-areas 
 dotted=no ; grid-auto-columns 
 dotted=no ; grid-auto-rows 
 dotted=no ; grid-auto-flow 
 dotted=no ; grid-auto-position 
 dotted=no ; grid-columns ; 10.0 ; 12 
 dotted=no ; grid-columns-start ; rowspan="2" no ; rowspan="2" no 
 dotted=no ; grid-columns-end 
 dotted=no ; grid-row ; 10.0 ; 12 
 dotted=no ; grid-row-start ; rowspan="3" no ; rowspan="3" no 
 dotted=no ; grid-row-end 
 dotted=no ; grid-area 
 Animation ; Animation ; Animation ; Animation ; Animation ; Animation ; Animation ; Animation 
 dotted=no 
 dotted=no ; animation ; 10.0 ; 12 ; 16.0publisher=Mozilla ; Experimental ; rowspan="9" no ; 2.12 
